X,Y,id_sit,iniciat_1,iniciat_2,exp_org,ini_conv,ult_conv,lugar_fisi,territorio,direccion,comuna,cut,orden,plot,long,lat,cod_plus,facebook,instagram,convocator,raciones_n,dato_fte,fecha_ingr,hora_ingre,icon_url
-70.760917,-33.4265719,11.00000000000,olla_comun,,Vecinos y vecinas organizad@s,0.00000000000,200526.00000000000,Sede Del Club deportivo Santa Clara,Villa Santa Clara,La Llareta 9042,Cerro Navia,13103.00000000000,3.00000000000,si,-70.76091700000,-33.42657190000,47RFH6FQ+9J,,,Solo el pueblo ayuda al pueblo,,Opal Chile,200526.00000000000,1407.00000000000,./0.png
-70.762716,-33.423073,12.00000000000,olla_comun,acopio_solidario,Toma Violeta Parra de Barrancas,190904.00000000000,0.00000000000,,Toma Violeta Parra de Barrancas,Rodoviario 8539-8632,Cerro Navia,13103.00000000000,4.00000000000,si,-70.76271600000,-33.42307300000,H6GP+QW Cerro Navia,,,Olla popular comunitaria,,Opal Chile,200524.00000000000,0.00000000000,./0.png
-70.6702417,-33.3789899,13.00000000000,olla_comun,,Vecinas por Conchalí,0.00000000000,200525.00000000000,Plaza La Palmilla,Población La Palmilla,Villa Principal 5329,Conchalí,13104.00000000000,0.00000000000,si,-70.67024170000,-33.37898990000,47RFJ8CH+CW,,,Todos los martes desde las 13 horas. Entregamos almuerzos a nuestros vecinos que lo necesiten. El Pueblo Ayuda al pueblo,,RedApoyoComunitario_ZN_RM,200527.00000000000,1142.00000000000,./0.png
-70.6722021,-33.3803362,14.00000000000,olla_comun,acopio_solidario,Junta de Vecinos Nro. 42 Nueva Palmilla Central,0.00000000000,200525.00000000000,,Población Nueva Palmilla Central,Durango 5035,Conchalí,13104.00000000000,2.00000000000,si,-70.67220210000,-33.38033620000,47RFJ89H+V4,,,Todos los lunes,,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.6766518,-33.3733189,15.00000000000,olla_comun,,Vecinos y vecinas organizad@s,0.00000000000,200525.00000000000,Sede Junta de Vecinos Nro. 27 de Conchali,,Altona 1572,Conchalí,13104.00000000000,3.00000000000,si,-70.67665180000,-33.37331890000,47RFJ8GF+M8,,,Todos los dias. Olla comun Conchalí. Solo el pueblo ayuda al pueblo,mas de 100 diarias,RedApoyoComunitario_ZN_RM,200527.00000000000,1115.00000000000,./0.png
-70.6805076,-33.3845848,16.00000000000,acopio_solidario,olla_comun,Vecinos y vecinas organizad@s,0.00000000000,200526.00000000000,,Conchalí frente a Poblaciòn Diego Silva,La Reja 1804 (con Av. Independecia),Conchalí,13104.00000000000,4.00000000000,si,-70.68050760000,-33.38458480000,47RFJ889+5Q,,,"Colabora con la olla común y ayuda a tus vecin@s mas necesitados. ""No es asunto de caridad, sino de justicia"" Nelson Mandela",,OllasComunes_Chi_Wall,200526.00000000000,2206.00000000000,./0.png
-70.6910904,-33.3670014,17.00000000000,olla_comun,acopio_solidario,Olla Comunitaria El Cortijo norte,200525.00000000000,200529.00000000000,Junta de vecinos Nro. 30 de Conchalí,El Cortijo,Julio Montt Salamanca 6097,Conchalí,13104.00000000000,5.00000000000,si,-70.69109040000,-33.36700140000,19HCD4267306748,https://www.facebook.com/photo.php?fbid=1789694294505168&set=a.297385903736022&type=3&theater,,"La Junta de Vecinos ""El Cortijo Norte"" en la campaña #ManosSolidarias, para ayudar a nuestros vecinos del Barrio, con una olla comun y acopio solidario",,,200527.00000000000,2128.00000000000,./0.png
-70.6645144,-33.3845764,18.00000000000,olla_comun,acopio_solidario,Vecinos y vecinas organizad@s,200527.00000000000,200529.00000000000,"Espacio público, frente al Jardin Ardillitas",Poblacion Gonel,Salamanca 4030,Conchalí,13104.00000000000,6.00000000000,si,-70.66451440000,-33.38457640000,47RFJ88P+55,https://www.facebook.com/photo.php?fbid=3150331271713557&set=a.106332959446752&type=3&theater,,Solo el pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200528.00000000000,1603.00000000000,./0.png
-1.79769313486232e+308,-1.79769313486232e+308,19.00000000000,olla_comun,,"La Cacelora. Comisión de Abastecimiento Popular; Consejo de Organizaciones Populares de Conchali",0.00000000000,200530.00000000000,Sede Club Deportivo Sergio del Fierro,Poblacion El Cortijo,Pasaje Veinticinco 2007,Conchalí,13104.00000000000,7.00000000000,si,0.00000000000,0.00000000000,47RFJ8J5+68,,,Solo El Pueblo ayuda al pueblo. Olla Comun Barrio El Cortijo. Uso obligatorio de mascarilla,,Pagina_Organizacion,200529.00000000000,1400.00000000000,./0.png
-70.6756516,-33.4051354,20.00000000000,olla_comun,acopio_solidario,,0.00000000000,0.00000000000,Plaza Monterrey,Barrio Monterrey,Costa Rica 2705,Conchalí,13104.00000000000,8.00000000000,si,-70.67565160000,-33.40513540000,47RFH8VF+WP,,,Colabora con la olla comun,,,200527.00000000000,2210.00000000000,./0.png
